order,cycle,lane,pc,instruction,rd_write,rd_fp,rd,wdata,trap,cause,tval
195,417,0,8000007c,d00776d3,1,1,13,41a80000,0,0,00000000
196,417,1,80000080,00d7f7d3,1,1,15,41d80000,0,0,00000000
197,418,0,80000084,000097c2,1,0,15,80020070,0,0,00000000
198,419,0,80000086,0000e39c,0,0,0,00000000,0,0,00000000
199,420,0,80000088,0000639c,1,1,15,41d80000,0,0,00000000
200,422,0,8000008a,00f77753,1,1,14,43390000,0,0,00000000
201,422,1,8000008e,fca693e3,0,0,7,00000000,0,0,00000000
202,423,0,80000092,00000617,1,0,12,80000092,0,0,00000000
203,423,1,80000096,0e260613,1,0,12,80000174,0,0,00000000
204,424,0,8000009a,00000697,1,0,13,8000009a,0,0,00000000
205,424,1,8000009e,0ba68693,1,0,13,80000154,0,0,00000000
206,426,0,800000a2,00004781,1,0,15,00000000,0,0,00000000
207,426,1,800000a4,00004501,1,0,10,00000000,0,0,00000000
208,427,0,800000a6,00020e97,1,0,29,800200a6,0,0,00000000
209,427,1,800000aa,fcee8e93,1,0,29,80020074,0,0,00000000
210,428,0,800000ae,00004885,1,0,17,00000001,0,0,00000000
211,428,1,800000b0,00020e17,1,0,28,800200b0,0,0,00000000
212,429,0,800000b4,fa4e0e13,1,0,28,80020054,0,0,00000000
213,429,1,800000b8,00004321,1,0,6,00000008,0,0,00000000
214,430,0,800000ba,0000a031,0,0,0,00000000,0,0,00000000
215,430,1,800000c6,00279713,1,0,14,00000000,0,0,00000000
216,431,0,800000ca,00009776,1,0,14,80020074,0,0,00000000
217,432,0,800000cc,00072803,1,0,16,00000008,0,0,00000000
218,433,0,800000d0,00004218,1,0,14,00000008,0,0,00000000
219,433,1,800000d2,00e80563,0,0,10,00000000,0,0,00000000
220,434,0,800000dc,00279713,1,0,14,00000000,0,0,00000000
221,434,1,800000e0,00009772,1,0,14,80020054,0,0,00000000
222,436,0,800000e2,00006314,1,1,13,410c0000,0,0,00000000
223,440,0,800000e4,0000629c,1,1,15,410c0000,0,0,00000000
224,444,0,800000e6,a0f6a753,1,0,14,00000001,0,0,00000000
225,444,1,800000ea,0000fb69,0,0,19,00000000,0,0,00000000
226,449,0,800000bc,00000785,1,0,15,00000001,0,0,00000000
227,449,1,800000be,00000611,1,0,12,80000178,0,0,00000000
228,451,0,800000c0,00000691,1,0,13,80000158,0,0,00000000
229,451,1,800000c2,02678b63,0,0,22,00000000,0,0,00000000
230,452,0,800000c6,00279713,1,0,14,00000004,0,0,00000000
231,453,0,800000ca,00009776,1,0,14,80020078,0,0,00000000
232,456,0,800000cc,00072803,1,0,16,00000001,0,0,00000000
233,462,0,800000d0,00004218,1,0,14,00000001,0,0,00000000
234,462,1,800000d2,00e80563,0,0,10,00000000,0,0,00000000
235,467,0,800000dc,00279713,1,0,14,00000004,0,0,00000000
236,469,0,800000e0,00009772,1,0,14,80020058,0,0,00000000
237,472,0,800000e2,00006314,1,1,13,40200000,0,0,00000000
238,476,0,800000e4,0000629c,1,1,15,40200000,0,0,00000000
239,480,0,800000e6,a0f6a753,1,0,14,00000001,0,0,00000000
240,480,1,800000ea,0000fb69,0,0,19,00000000,0,0,00000000
241,485,0,800000bc,00000785,1,0,15,00000002,0,0,00000000
242,485,1,800000be,00000611,1,0,12,8000017c,0,0,00000000
243,487,0,800000c0,00000691,1,0,13,8000015c,0,0,00000000
244,487,1,800000c2,02678b63,0,0,22,00000000,0,0,00000000
245,488,0,800000c6,00279713,1,0,14,00000008,0,0,00000000
246,489,0,800000ca,00009776,1,0,14,8002007c,0,0,00000000
247,492,0,800000cc,00072803,1,0,16,0000001a,0,0,00000000
248,498,0,800000d0,00004218,1,0,14,0000001a,0,0,00000000
249,498,1,800000d2,00e80563,0,0,10,00000000,0,0,00000000
250,503,0,800000dc,00279713,1,0,14,00000008,0,0,00000000
251,505,0,800000e0,00009772,1,0,14,8002005c,0,0,00000000
252,508,0,800000e2,00006314,1,1,13,41e20000,0,0,00000000
253,512,0,800000e4,0000629c,1,1,15,41e20000,0,0,00000000
254,516,0,800000e6,a0f6a753,1,0,14,00000001,0,0,00000000
255,516,1,800000ea,0000fb69,0,0,19,00000000,0,0,00000000
256,521,0,800000bc,00000785,1,0,15,00000003,0,0,00000000
257,521,1,800000be,00000611,1,0,12,80000180,0,0,00000000
258,523,0,800000c0,00000691,1,0,13,80000160,0,0,00000000
259,523,1,800000c2,02678b63,0,0,22,00000000,0,0,00000000
260,524,0,800000c6,00279713,1,0,14,0000000c,0,0,00000000
261,525,0,800000ca,00009776,1,0,14,80020080,0,0,00000000
262,528,0,800000cc,00072803,1,0,16,00000015,0,0,00000000
263,534,0,800000d0,00004218,1,0,14,00000015,0,0,00000000
264,534,1,800000d2,00e80563,0,0,10,00000000,0,0,00000000
